,Aqueous species id,Compound name,Charge,ΔfG° (kJ/mol),ΔfH° (kJ/mol),ΔfS° (kJ/K/mol),Cp° (kJ/K/mol),compound_id,dgf_obs
233,CHB_36632_-1,o-toluic acid,-1,-206.85696000000002,-393.58888,-0.6269336,0.36568160000000005,CHB_36632,-206.85696000000002
234,CHB_16467_-1,L-arginine,-1,-168.78256,-541.4932799999999,-1.2500455199999998,0.3393224,CHB_16467,-168.78256
235,CHB_16240_-1,hydrogen peroxide,-1,-67.32056,-160.33088,-0.312032,-0.1564816,CHB_16240,-67.32056
236,CHB_16136_-1,hydrogen sulfide,-1,11.966239999999999,-16.108400000000003,-0.0945348,-0.09275928,CHB_16136,11.966239999999999
237,CHB_18022_-1,thiocyanate,-1,92.71744,76.44167999999999,-0.054589,-0.040166400000000005,CHB_18022,92.71744
239,CHB_18391_-1,D-gluconate,-1,-1128.3,,,,CHB_18391,-1128.3
240,CHB_16659_-1,glycerate,-1,-661.01,,,,CHB_16659,-661.01
241,CHB_17489_-1,adenosine 3':5'-(cyclic)phosphate,-1,-629.68,,,,CHB_17489,-629.68
242,CHB_30841_-1,hydroxypyruvate,-1,-608.55,,,,CHB_30841,-608.55
243,CHB_16769_-1,2-oxoglutaramate,-1,-595.88,,,,CHB_16769,-595.88
244,CHB_16510_-1,3-hydroxypropanoate,-1,-518.4,,,,CHB_16510,-518.4
245,CHB_13705_-1,acetoacetate,-1,-482.49,,,,CHB_13705,-482.49
246,CHB_16891_-1,glyoxylate,-1,-468.6,,,,CHB_16891,-468.6
247,CHB_48430_-1,4-methyl-2-oxopentanooate,-1,-445.14,,,,CHB_48430,-445.14
248,CHB_15756_-1,palmitic acid,-1,-259.4,,,,CHB_15756,-259.4
249,CHB_35697_-1,trans-cinnamate,-1,-128.75,,,,CHB_35697,-128.75
250,CHB_16298_-1,D-mannitol-1-phosphate,-1,-1830.68,,,,CHB_16298,-1830.68
